Date,Open,High,Low,Close,Adj Close,Volume,Cumulative Open,Price Change
0,2022-08-29,282.8299865722656,287.739990234375,280.70001220703125,284.82000732421875,284.82000732421875,41864700,282.8299865722656,
1,2022-08-30,287.8699951171875,288.4800109863281,272.6499938964844,277.70001220703125,277.70001220703125,50541800,570.6999816894531,5.040008544921875
2,2022-08-31,280.6199951171875,281.25,271.80999755859375,275.6099853515625,275.6099853515625,52107300,851.3199768066406,-7.25
3,2022-09-01,272.5799865722656,277.5799865722656,266.1499938964844,277.1600036621094,277.1600036621094,54287000,1123.8999633789062,-8.040008544921875
4,2022-09-02,281.07000732421875,282.3500061035156,269.0799865722656,270.2099914550781,270.2099914550781,50890100,1404.969970703125,8.490020751953125
5,2022-09-06,272.67999267578125,275.989990234375,265.739990234375,274.4200134277344,274.4200134277344,55860000,1677.6499633789062,-8.3900146484375
6,2022-09-07,273.1000061035156,283.8399963378906,272.2699890136719,283.70001220703125,283.70001220703125,50028900,1950.7499694824219,0.420013427734375
7,2022-09-08,281.29998779296875,289.5,279.760009765625,289.260009765625,289.260009765625,53713100,2232.0499572753906,8.199981689453125
8,2022-09-09,291.6700134277344,299.8500061035156,291.25,299.67999267578125,299.67999267578125,54338100,2523.719970703125,10.370025634765625
9,2022-09-12,300.7200012207031,305.489990234375,300.3999938964844,304.4200134277344,304.4200134277344,48674600,2824.439971923828,9.04998779296875
10,2022-09-13,292.8999938964844,297.3999938964844,290.3999938964844,292.1300048828125,292.1300048828125,68229600,3117.3399658203125,-7.82000732421875
11,2022-09-14,292.239990234375,306.0,291.6400146484375,302.6099853515625,302.6099853515625,72628700,3409.5799560546875,-0.660003662109375
12,2022-09-15,301.8299865722656,309.1199951171875,300.7200012207031,303.75,303.75,64795500,3711.409942626953,9.589996337890625
13,2022-09-16,299.6099853515625,303.7099914550781,295.6000061035156,303.3500061035156,303.3500061035156,87087800,4011.0199279785156,-2.220001220703125
14,2022-09-19,300.0899963378906,309.8399963378906,297.79998779296875,309.07000732421875,309.07000732421875,60231200,4311.109924316406,0.480010986328125
15,2022-09-20,306.9100036621094,313.3299865722656,305.5799865722656,308.7300109863281,308.7300109863281,61642800,4618.019927978516,6.82000732421875
16,2022-09-21,308.2900085449219,313.79998779296875,300.6300048828125,300.79998779296875,300.79998779296875,62555700,4926.3099365234375,1.3800048828125
17,2022-09-22,299.8599853515625,301.2900085449219,285.82000732421875,288.5899963378906,288.5899963378906,70545400,5226.169921875,-8.430023193359375
18,2022-09-23,283.0899963378906,284.5,272.82000732421875,275.3299865722656,275.3299865722656,63748400,5509.259918212891,-16.769989013671875
